Materialno,Plant,SLoc,SlocDesc,Unrestrictuse,Reserve,Exporttime
J-140-2N1,H102,1003,InfraVerify,2,0,04NOV2019-01:30
J-140-2N2GAR,H102,1003,InfraVerify,1,0,04NOV2019-01:30
J-140-2N2GAR,H102,1004,InfraRepair,1,0,04NOV2019-01:30
J-140-2N3GAR,H102,INS,Installation,200,100,04NOV2019-01:30
J-TOJ-SYUWC,H102,1003,InfraVerify,1,0,04NOV2019-01:30
J-TOJ-SYUWC,H102,1004,InfraRepair,6,0,04NOV2019-01:30
J-TOJ-SYUWC,H102,INS,Installation,100,50,04NOV2019-01:30
J-TOJ-SYUWC,H601,INS,Installation,10,0,04NOV2019-01:30
J37850202,H102,INS,Installation,0,100,04NOV2019-01:30
J3R16791Q,H102,INS,Installation,1,0,04NOV2019-01:30
J3R16791R,H102,INS,Installation,2,0,04NOV2019-01:30
J3R16791R-PZE,H102,INS,Installation,2,0,04NOV2019-01:30
J505-YQH-HPJ,H102,INS,Installation,56,0,04NOV2019-01:30
J505-YQH-PTH,H102,INS,Installation,56,0,04NOV2019-01:30
J505-ZR-PZE,H102,INS,Installation,56,0,04NOV2019-01:30
J72-1482-01,H102,1003,InfraVerify,8,0,04NOV2019-01:30
J72-3383-01,H102,1003,InfraVerify,11,0,04NOV2019-01:30
J72-3383-01,H302,INS,Installation,1,0,04NOV2019-01:30
